Date,Open,High,Low,Close,Adj Close,Volume
2024-02-22,74.570000,75.139999,74.430000,75.029999,74.807243,525900
2024-02-23,75.250000,75.449997,75.150002,75.209999,74.986710,383500
2024-02-26,75.320000,75.370003,74.919998,74.930000,74.707542,238400
2024-02-27,75.029999,75.199997,74.849998,75.199997,74.976738,201800
2024-02-28,75.209999,75.410004,75.110001,75.300003,75.076447,104500
2024-02-29,75.550003,75.800003,75.199997,75.629997,75.405457,510300
2024-03-01,75.919998,76.260002,75.779999,76.239998,76.013649,324200
2024-03-04,76.139999,76.510002,76.139999,76.260002,76.033592,133300
2024-03-05,75.970001,75.970001,75.269997,75.570000,75.345642,617200
2024-03-06,75.930000,75.930000,75.400002,75.570000,75.345642,164700
2024-03-07,75.879997,76.120003,75.769997,75.989998,75.764389,306900
2024-03-08,76.029999,76.449997,75.620003,75.720001,75.495193,452700
2024-03-11,75.620003,75.650002,75.300003,75.559998,75.335670,179800
2024-03-12,75.970001,76.500000,75.730003,76.449997,76.223022,456500
2024-03-13,76.480003,76.480003,76.000000,76.180000,75.953827,108900
2024-03-14,76.379997,76.430000,75.989998,76.370003,76.143265,721500
2024-03-15,76.000000,76.000000,75.720001,75.910004,75.684631,319800
2024-03-18,76.459999,76.739998,76.290001,76.290001,76.063499,185600
2024-03-19,76.629997,76.949997,76.449997,76.900002,76.671692,282400
2024-03-20,77.080002,77.190002,76.779999,77.120003,76.891037,247700
2024-03-21,77.800003,77.959999,77.639999,77.669998,77.439400,256000
2024-03-22,77.900002,78.169998,77.800003,78.040001,77.808304,275500
2024-03-25,77.669998,77.790001,77.589996,77.660004,77.429436,312700
2024-03-26,77.690002,77.820000,77.440002,77.470001,77.239998,182200
2024-03-27,77.779999,77.809998,77.360001,77.809998,77.809998,342400
2024-03-28,77.839996,77.870003,77.570000,77.699997,77.699997,73000
2024-04-01,77.830002,77.940002,77.580002,77.720001,77.720001,171000
2024-04-02,77.089996,77.190002,76.849998,77.190002,77.190002,387000
2024-04-03,77.040001,77.220001,76.860001,77.070000,77.070000,232900
2024-04-04,77.379997,77.480003,76.209999,76.220001,76.220001,357500
2024-04-05,76.849998,77.480003,76.849998,77.260002,77.260002,507900
2024-04-08,77.290001,77.449997,77.110001,77.190002,77.190002,91700
2024-04-09,77.360001,77.360001,76.660004,77.199997,77.199997,187800
2024-04-10,76.809998,77.230003,76.779999,77.110001,77.110001,257300
2024-04-11,77.269997,77.849998,77.000000,77.720001,77.720001,383600
2024-04-12,77.589996,77.680000,76.919998,77.070000,77.070000,434300
2024-04-15,77.620003,77.620003,76.139999,76.250000,76.250000,428400
2024-04-16,76.500000,76.610001,76.180000,76.279999,76.279999,324600
2024-04-17,76.559998,76.559998,75.589996,75.589996,75.589996,332400
2024-04-18,75.680000,75.959999,75.320000,75.419998,75.419998,411100
2024-04-19,75.309998,75.379997,74.470001,74.650002,74.650002,396900
2024-04-22,74.959999,75.339996,74.580002,75.029999,75.029999,441200
2024-04-23,75.320000,75.760002,75.269997,75.680000,75.680000,220900
2024-04-24,76.120003,76.160004,75.660004,75.940002,75.940002,247300
2024-04-25,75.089996,75.459999,74.849998,75.389999,75.389999,275600
2024-04-26,75.900002,76.400002,75.779999,76.129997,76.129997,293200
2024-04-29,76.400002,76.510002,76.029999,76.360001,76.360001,110400
2024-04-30,76.540001,76.769997,75.750000,75.790001,75.790001,252400
2024-05-01,75.639999,76.330002,75.430000,75.480003,75.480003,285700
2024-05-02,75.779999,75.800003,75.239998,75.730003,75.730003,97300
2024-05-03,76.389999,76.769997,76.239998,76.669998,76.669998,332300
2024-05-06,76.919998,77.349998,76.849998,77.339996,77.339996,318700
2024-05-07,77.570000,77.959999,77.550003,77.830002,77.830002,354100
2024-05-08,77.639999,77.910004,77.639999,77.860001,77.860001,53700
2024-05-09,77.809998,77.970001,77.650002,77.940002,77.940002,67500
2024-05-10,78.000000,78.099998,77.879997,78.089996,78.089996,46000
2024-05-13,78.330002,78.330002,77.970001,78.019997,78.019997,174000
2024-05-14,77.940002,78.349998,77.889999,78.339996,78.339996,239300
2024-05-15,78.519997,79.029999,78.500000,79.029999,79.029999,570800
2024-05-16,79.139999,79.290001,78.900002,78.900002,78.900002,214200
2024-05-17,78.940002,78.980003,78.730003,78.970001,78.970001,154300
2024-05-21,79.220001,79.480003,79.180000,79.440002,79.440002,284500
2024-05-22,79.480003,79.599998,79.199997,79.440002,79.440002,223300
2024-05-23,79.769997,79.769997,79.040001,79.190002,79.190002,208800
2024-05-24,79.269997,79.370003,79.110001,79.269997,79.269997,180300
2024-05-27,79.190002,79.529999,79.099998,79.459999,79.459999,46600
2024-05-28,79.169998,79.239998,78.879997,79.239998,79.239998,218200
2024-05-29,78.820000,79.199997,78.809998,79.010002,79.010002,94300
2024-05-30,78.739998,78.750000,78.230003,78.400002,78.400002,367000
2024-05-31,78.250000,78.750000,77.570000,78.750000,78.750000,507500
2024-06-03,79.019997,79.019997,78.230003,78.779999,78.779999,408200
2024-06-04,78.959999,79.290001,78.769997,79.180000,79.180000,337500
2024-06-05,79.559998,80.199997,79.389999,80.199997,80.199997,498900
2024-06-06,80.300003,80.320000,79.879997,80.080002,80.080002,337900
